주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
222-2-000001,와부 제1공영,공영,노외,,경기도 남양주시 와부읍 덕소리 474-1,28,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.58624882,127.2130282,Y,2026-03-11
222-2-000002,와부 제3공영,공영,노외,,경기도 남양주시 와부읍 도곡리1037-9,92,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.57963273,127.2226542,Y,2026-03-11
222-2-000003,와부 제5공영,공영,노외,,경기도 남양주시 와부읍 팔당리 243-9,35,1,5부제,평일+토요일+공휴일,8:00,20:00,8:00,20:00,8:00,20:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.54597782,127.2449375,Y,2026-03-11
222-2-000004,진접 제1공영,공영,노외,,경기도 남양주시 진접읍 팔야리 778-4,68,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.74488924,127.2084787,Y,2026-03-11
222-2-000005,진접 제2공영,공영,노외,,경기도 남양주시 진접읍 팔야리 792,92,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.74535367,127.201637,Y,2026-03-11
222-2-000006,진접 제3공영,공영,노외,,경기도 남양주시 진접읍 장현리 710-2,48,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.72610263,127.1937489,Y,2026-03-11
222-2-000007,진접 제4공영,공영,노외,,경기도 남양주시 진접읍 부평리 755,40,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.74150278,127.1996514,Y,2026-03-11
222-2-000008,진접 제5공영,공영,노외,,경기도 남양주시 진접읍 금곡리 1118,134,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.71895377,127.2050656,Y,2026-03-11
222-2-000009,화도 제1공영,공영,노외,,경기도 남양주시 화도읍 마석우리 334-11,114,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65316702,127.3030429,Y,2026-03-11
222-2-000010,화도 제2공영,공영,노외,,경기도 남양주시 화도읍 마석우리 338-1,75,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65319343,127.3018012,Y,2026-03-11
222-2-000011,화도 제3공영,공영,노외,,경기도 남양주시 화도읍 마석우리 222-2,16,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65235589,127.3118502,Y,2026-03-11
222-2-000012,화도 제4공영,공영,노외,,경기도 남양주시 화도읍 창현리 469-1,47,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65203218,127.3067452,Y,2026-03-11
222-2-000013,화도 제5공영,공영,노외,,경기도 남양주시 화도읍 마석우리 392-3,25,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65695702,127.3028712,Y,2026-03-11
222-2-000014,화도 제7공영,공영,노외,,경기도 남양주시 화도읍 창현리 734,52,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65099106,127.3040456,Y,2026-03-11
222-2-000015,화도 제8공영,공영,노외,,경기도 남양주시 화도읍 묵현리 353,81,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65854013,127.283728,Y,2026-03-11
222-2-000016,화도 제9공영,공영,노외,,경기도 남양주시 화도읍 마석우리 598-3,6,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.6611122,127.3033859,N,2026-03-11
222-2-000017,화도 제10공영,공영,노외,,경기도 남양주시 화도읍 마석우리 215-1,169,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65730263,127.3068672,Y,2026-03-11
222-2-000018,화도 제11공영,공영,노외,,경기도 남양주시 화도읍 창현리 325,24,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.63702399,127.309452,N,2026-03-11
222-2-000019,진건 제1공영,공영,노외,,경기도 남양주시 진건읍 사능리 654-6,17,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.6578225,127.1747744,N,2026-03-11
222-2-000020,진건 제2공영,공영,노외,,경기도 남양주시 진건읍 사능리 618-3,50,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65448041,127.1795049,N,2026-03-11
222-2-000021,진건 제4공영,공영,노외,,경기도 남양주시 진건읍 사능리 590-2,115,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65039476,127.1791026,Y,2026-03-11
222-2-000022,진건 제5공영,공영,노외,,경기도 남양주시 진건읍 용정리 산131-4,37,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65802043,127.180696,Y,2026-03-11
222-2-000023,별내면 제1공영,공영,노외,,경기도 남양주시 별내면 청학리 537,22,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.70519968,127.1063714,N,2026-03-11
222-2-000024,별내면 제2공영,공영,노외,,경기도 남양주시 별내면 청학리 500-16,30,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.7076593,127.1118653,N,2026-03-11
222-2-000025,별내동 제1공영,공영,노외,,경기도 남양주시 별내동 935,49,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65598438,127.1259358,Y,2026-03-11
222-2-000026,별내동 제2공영,공영,노외,,경기도 남양주시 별내동 1062,109,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65093791,127.1203268,Y,2026-03-11
222-2-000027,퇴계원 제2공영,공영,노외,,경기도 남양주시 퇴계원읍 퇴계원리 257-6,35,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65122021,127.1430096,Y,2026-03-11
222-2-000028,퇴계원 제3공영,공영,노외,,경기도 남양주시 퇴계원읍 퇴계원리 218-8,128,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.647674,127.1423801,Y,2026-03-11
222-2-000029,퇴계원 제4공영,공영,노외,,경기도 남양주시 퇴계원읍 퇴계원리 229-4,29,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.64867932,127.145591,Y,2026-03-11
222-2-000030,호평 제1공영,공영,노외,,경기도 남양주시 호평동 350,64,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.67042857,127.2519143,Y,2026-03-11
222-2-000031,호평 제2공영,공영,노외,,경기도 남양주시 호평동 542-3,50,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65555202,127.2394137,Y,2026-03-11
222-2-000032,호평 제3공영,공영,노외,,경기도 남양주시 호평동 218-3,240,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65880956,127.2444657,Y,2026-03-11
222-2-000033,평내 제1공영,공영,노외,,경기도 남양주시 평내동 570-3,106,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.64432689,127.2297074,Y,2026-03-11
222-2-000034,평내 제2공영,공영,노외,,경기도 남양주시 평내동 660-8,100,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65354164,127.2429728,Y,2026-03-11
222-2-000035,금곡 제1공영,공영,노외,,경기도 남양주시 금곡동 754-15,26,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.63263977,127.2000004,Y,2026-03-11
222-2-000036,양정 제1공영,공영,노외,,경기도 남양주시 이패동 464-2,32,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.60618947,127.1925063,Y,2026-03-11
222-2-000037,양정 제2공영,공영,노외,,경기도 남양주시 이패동 271-1,41,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.61750951,127.1987777,N,2026-03-11
222-2-000038,다산 제1공영,공영,노외,,경기도 남양주시 다산동 567-8,47,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.6052493,127.158063,Y,2026-03-11
222-2-000039,다산 제2공영,공영,노외,,경기도 남양주시 다산동 664,70,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.60486538,127.1579824,Y,2026-03-11
222-2-000040,다산 제3공영,공영,노외,,경기도 남양주시 다산동 6148,118,1,5부제,평일+토요일+공휴일,8:00,20:00,8:00,20:00,8:00,20:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.6143008,127.1547829,Y,2026-03-11
222-2-000041,다산 제4공영,공영,노외,,경기도 남양주시 다산동 4338-43,23,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.61008601,127.1524054,N,2026-03-11
222-2-000042,다산 제5공영,공영,노외,,경기도 남양주시 다산동 6178,47,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.611227,127.165135,N,2026-03-11
222-2-000043,오남 제1공영,공영,노외,,경기도 남양주시 오남읍 오남리 862,107,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.69421943,127.1988665,Y,2026-03-11
222-2-000044,오남 제2공영,공영,노외,,경기도 남양주시 오남읍 양지리 244-1,53,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.7104059,127.2025,Y,2026-03-11
222-2-000045,오남 제3공영,공영,노외,,경기도 남양주시 오남읍 오남리 41,112,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.69293386,127.2183,Y,2026-03-11
222-2-000046,물의정원제1공영,공영,노외,,경기도 남양주시 조안면 진중리 136,130,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.55680513,127.3115613,Y,2026-03-11
222-2-000047,물의정원제3공영,공영,노외,,경기도 남양주시 조안면 송촌리 492-1,121,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.56173473,127.3147544,Y,2026-03-11
222-2-000048,다산생태공원제1공영,공영,노외,,경기도 남양주시 조안면 능내리 31-2,133,1,5부제,평일+토요일+공휴일,8:00,20:00,8:00,20:00,8:00,20:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.51423397,127.2991015,Y,2026-03-11
222-2-000049,정약용생가 다목적광장,공영,노외,,경기도 남양주시 조안면 능내리 50,219,1,5부제,평일+토요일+공휴일,8:00,20:00,8:00,20:00,8:00,20:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.51476207,127.2970662,Y,2026-03-11
222-1-000001,와부 노상제1,공영,노상,,경기도 남양주시 와부읍 덕소리 111-2,27,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.58523059,127.2142351,N,2026-03-11
222-1-000002,와부 노상제2,공영,노상,,경기도 남양주시 와부읍 덕소리 600-36,37,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.58615214,127.2067148,N,2026-03-11
222-1-000003,진접 노상제2,공영,노상,,경기도 남양주시 진접읍 팔야리 786-18,11,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.74463922,127.2020778,N,2026-03-11
222-1-000004,진접 노상제3,공영,노상,,경기도 남양주시 진접읍 장현리 288-1,11,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.71834545,127.1840361,N,2026-03-11
222-1-000005,진접 노상제4,공영,노상,,경기도 남양주시 진접읍 금곡리 1127-113,78,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.71462257,127.1977246,N,2026-03-11
222-1-000006,진접 노상제5,공영,노상,,경기도 남양주시 진접읍 금곡리 1127-16,62,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.72087167,127.1963124,N,2026-03-11
222-1-000007,진접 노상제7,공영,노상,,경기도 남양주시 진접읍 금곡리 1127-3,22,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.71216776,127.1871317,N,2026-03-11
222-1-000008,진접 노상제8,공영,노상,,경기도 남양주시 진접읍 내각리 323-2,16,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.70459205,127.1662242,N,2026-03-11
222-1-000009,화도 노상제2,공영,노상,,경기도 남양주시 화도읍 창현리 740,13,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.64977596,127.3033648,N,2026-03-11
222-1-000010,별내면 노상제1,공영,노상,,경기도 남양주시 별내면 청학리 409-6,51,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.70927307,127.1154636,N,2026-03-11
222-1-000011,별내면 노상제2,공영,노상,,경기도 남양주시 별내면 청학리 409-6,71,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.70927307,127.1154636,N,2026-03-11
222-1-000012,별내면 노상제3,공영,노상,,경기도 남양주시 별내면 청학리 439-6,15,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.7072771,127.1191182,N,2026-03-11
222-1-000013,별내면 노상제4,공영,노상,,경기도 남양주시 별내면 청학리 412-4,10,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.70772498,127.1194617,N,2026-03-11
222-1-000014,별내면 노상제5,공영,노상,,경기도 남양주시 별내면 청학리 421-1,16,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.71075933,127.1114904,N,2026-03-11
222-1-000015,별내면 노상제6,공영,노상,,경기도 남양주시 별내면 청학리 358-10,15,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.645533,127.125354,N,2026-03-11
222-1-000016,퇴계원 노상제1,공영,노상,,경기도 남양주시 퇴계원읍 퇴계원리 70-67,5,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65563675,127.1452577,N,2026-03-11
222-1-000017,퇴계원 노상제2,공영,노상,,경기도 남양주시 퇴계원읍 퇴계원리 250-49,15,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65121785,127.1448204,N,2026-03-11
222-1-000018,금곡 노상제1,공영,노상,,경기도 남양주시 금곡동 177-2,8,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.63618416,127.2151659,N,2026-03-11
222-1-000019,금곡 노상제2,공영,노상,,경기도 남양주시 금곡동 158-95,6,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.63610631,127.2137341,N,2026-03-11
222-1-000020,금곡 노상제3,공영,노상,,경기도 남양주시 금곡동 433-17,17,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.63284991,127.2052937,N,2026-03-11
222-1-000021,금곡 노상제4,공영,노상,,경기도 남양주시 금곡동 671,12,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.6268475,127.2020852,N,2026-03-11
222-1-000022,금곡 노상제7,공영,노상,,경기도 남양주시 금곡동 433-11,17,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.63354605,127.2053062,N,2026-03-11
222-1-000023,금곡 노상제8,공영,노상,,경기도 남양주시 금곡동 154-34,14,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.63373676,127.211588,N,2026-03-11
222-1-000024,다산 노상제1,공영,노상,,경기도 남양주시 다산동 707,13,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.60477122,127.1564706,N,2026-03-11
222-1-000025,다산 노상제2,공영,노상,,경기도 남양주시 다산동 718,16,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.60438545,127.1555185,N,2026-03-11
222-1-000026,다산 노상제3,공영,노상,,경기도 남양주시 다산동 6284-1,26,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.61095999,127.1715699,N,2026-03-11
222-1-000027,별내동 노상제1,공영,노상,,경기도 남양주시 별내동 1059,30,1,5부제,평일+토요일+공휴일,9:00,21:00,9:00,18:00,9:00,18:00,유료,60,1000,30,500,0,0,0,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65024166,127.1201782,N,2026-03-11
222-1-000028,별내동 노상제2,공영,노상,,"경기도 남양주시 별내동 831-8, 827-7",32,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.6667186,127.1150181,N,2026-03-11
222-1-000029,별내동 노상제3,공영,노상,,경기도 남양주시 별내동 1017,10,1,5부제,평일+토요일+공휴일,9:00,21:00,9:00,18:00,9:00,18:00,유료,60,1000,30,500,0,0,0,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.64733481,127.123598,N,2026-03-11
222-1-000030,별내동 노상제4,공영,노상,,경기도 남양주시 별내동 1031,14,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.64702656,127.1212906,N,2026-03-11
222-1-000031,별내동 노상제5,공영,노상,,경기도 남양주시 별내동 819-3,36,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.66732137,127.1186656,Y,2026-03-11
222-1-000032,별내동 노상제6,공영,노상,,경기도 남양주시 별내동 1006-4,14,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.64586466,127.1263502,N,2026-03-11
222-1-000033,별내동 노상제7,공영,노상,,경기도 남양주시 별내동 1031,10,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.64705,127.1212906,N,2026-03-11
222-1-000034,별내동 노상제9,공영,노상,,경기도 남양주시 별내동 1098,40,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65208015,127.1129703,N,2026-03-11
222-1-000035,별내동 노상제10,공영,노상,,경기도 남양주시 별내동 906,41,1,5부제,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,무료,0,0,0,0,0,0,0,,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65957329,127.1257788,N,2026-03-11
